id,heater_type_id,serial_number,created_at,updated_at,heater_status_id,status_reason,is_active,current_client_id
565,1,Heater,2022-12-03 18:18:55.261576,2024-10-24 15:52:29.643785,1,,t,0
555,1,Heater,2022-12-03 17:26:55.669787,2024-10-24 15:52:29.64438,1,,t,0
566,1,Heater,2022-12-03 18:19:20.476103,2024-10-24 15:52:29.650809,1,,t,0
584,1,Heater,2022-12-24 17:27:04.314117,2024-10-24 15:52:31.892019,1,,t,0
581,1,Heater,2022-12-17 16:21:57.696987,2024-10-24 15:52:32.272278,1,,t,0
589,1,Heater,2023-01-07 14:17:27.381193,2024-10-24 15:52:35.066558,1,,t,0
592,1,Heater,2023-01-17 22:14:20.04529,2024-10-24 15:52:35.688419,1,,t,0
593,1,Heater,2023-01-18 21:12:26.210054,2024-10-24 15:52:36.221975,1,,t,0
597,1,Heater,2023-01-21 16:27:20.312825,2024-10-24 15:52:38.05407,1,,t,0
598,1,Heater,2023-01-25 18:44:06.9,2024-10-24 15:52:38.482248,1,,t,0
600,1,Heater,2023-01-28 15:38:14.608878,2024-10-24 15:52:39.167177,1,,t,0
599,1,Heater,2023-01-27 19:25:55.450434,2024-10-24 15:52:40.48797,1,,t,0
591,1,Heater,2023-01-14 14:28:08.620394,2024-10-24 15:52:41.005447,1,,t,0
604,1,Heater,2023-01-30 21:10:08.281698,2024-10-24 15:52:43.91672,1,,t,0
595,1,Heater,2023-01-21 16:24:55.364559,2024-10-24 15:52:42.373366,1,,t,0
609,1,Heater,2023-02-02 21:16:17.570905,2024-10-24 15:52:44.478422,1,,t,0
610,1,Heater,2023-02-11 16:05:04.194528,2024-10-24 15:52:45.823798,1,,t,0
690,1,Heater,2023-12-02 16:59:13.876075,2024-10-24 15:52:48.734093,1,,t,0
652,1,Heater,2023-02-27 17:46:53.884668,2024-10-24 15:52:50.637499,1,,t,0
653,1,Heater,2023-02-27 21:18:01.549357,2024-10-24 15:52:52.188278,1,,t,0
657,1,Heater,2023-03-02 19:20:23.339187,2024-10-24 15:52:52.837474,1,,t,0
660,1,Heater,2023-03-04 14:42:22.389226,2024-10-24 15:52:55.496578,1,,t,0
664,1,Heater,2023-03-09 20:17:56.181258,2024-10-24 15:52:56.204713,1,,t,0
666,1,Heater,2023-03-14 16:31:09.806114,2024-10-24 15:52:57.496592,1,,t,0
665,1,Heater,2023-03-11 17:22:47.43666,2024-10-24 15:52:58.722006,1,,t,0
680,1,Heater,2023-12-02 15:59:28.795871,2024-08-08 15:29:34.437682,5,,t,1015
679,1,Heater,2023-12-02 15:56:00.281941,2024-10-24 15:53:03.760572,1,,t,0
684,1,Heater,2023-12-02 16:10:04.789904,2024-10-24 15:53:04.93196,1,,t,0
689,1,Heater,2023-12-02 16:55:03.757821,2024-10-24 15:53:07.663505,1,,t,0
688,1,Heater,2023-12-02 16:54:07.072927,2024-10-24 15:53:06.159003,1,,t,0
691,1,Heater,2023-12-02 17:13:20.362862,2024-10-24 15:53:08.472102,1,,t,0
693,1,Heater,2023-12-02 17:24:03.908317,2024-10-24 15:53:10.263828,1,,t,0
694,1,Heater,2023-12-02 17:25:00.188063,2024-10-24 15:53:11.029049,1,,t,0
695,1,Heater,2023-12-02 17:25:23.744854,2024-10-24 15:53:12.385501,1,,t,0
698,1,Heater,2023-12-02 17:37:28.673324,2024-10-24 15:53:15.383978,1,,t,0
696,1,Heater,2023-12-02 17:25:24.491292,2024-10-24 15:53:13.395088,1,,t,0
697,1,Heater,2023-12-02 17:26:23.349874,2024-10-24 15:53:14.400682,1,,t,0
699,1,Heater,2023-12-02 17:40:51.731057,2024-10-24 15:53:16.548314,1,,t,0
700,1,Heater,2023-12-02 17:42:24.962633,2024-10-24 15:53:17.073889,1,,t,0
703,1,Heater,2023-12-02 17:46:29.639899,2024-10-24 15:53:20.722743,1,,t,0
701,1,Heater,2023-12-02 17:43:50.528706,2024-10-24 15:53:18.848438,1,,t,0
702,1,Heater,2023-12-02 17:44:44.830167,2024-10-24 15:53:19.73395,1,,t,0
716,1,Heater,2023-12-02 18:25:56.447065,2024-10-24 15:53:22.355367,1,,t,0
728,1,Heater,2023-12-02 19:52:59.720793,2024-10-24 15:53:23.986428,1,,t,0
718,1,Heater,2023-12-02 18:30:54.268849,2024-10-24 15:53:24.804618,1,,t,0
713,1,Heater,2023-12-02 18:22:25.471148,2024-10-24 15:53:25.706656,1,,t,0
720,1,Heater,2023-12-02 18:46:30.83894,2024-10-24 15:53:26.917368,1,,t,0
715,1,Heater,2023-12-02 18:25:37.260307,2024-10-24 15:53:27.846611,1,,t,0
726,1,Heater,2023-12-02 19:02:26.64139,2024-10-24 15:53:29.21689,1,,t,0
725,1,Heater,2023-12-02 19:01:13.993825,2024-10-24 15:53:29.986278,1,,t,0
724,1,Heater,2023-12-02 19:00:41.403232,2024-10-24 15:53:30.307389,1,,t,0
717,1,Heater,2023-12-02 18:28:04.266678,2024-10-24 15:53:31.726427,1,,t,0
723,1,Heater,2023-12-02 18:54:42.755165,2024-10-24 15:53:32.816519,1,,t,0
730,1,Heater,2023-12-02 20:04:01.89929,2024-10-24 15:53:34.08149,1,,t,0
761,1,Heater,2023-12-08 21:32:30.941006,2024-10-24 15:53:36.428634,1,,t,0
759,1,Heater,2023-12-08 21:30:27.760192,2024-10-24 15:53:38.34658,1,,t,0
731,1,Heater,2023-12-02 20:13:19.67523,2024-10-24 15:53:39.856578,1,,t,0
737,1,Heater,2023-12-08 18:07:42.095379,2024-10-24 15:53:40.629949,1,,t,0
736,1,Heater,2023-12-08 17:17:06.606749,2024-10-24 15:53:41.454168,1,,t,0
738,1,Heater,2023-12-08 18:13:13.249096,2024-10-24 15:53:42.882345,1,,t,0
743,1,Heater,2023-12-08 20:48:15.881301,2024-10-24 15:53:44.201679,1,,t,0
745,1,Heater,2023-12-08 20:51:41.177496,2024-10-24 15:53:44.927962,1,,t,0
749,1,Heater,2023-12-08 20:56:04.864307,2024-10-24 15:53:45.494898,1,,t,0
752,1,Heater,2023-12-08 20:59:17.832777,2024-10-24 15:53:46.06177,1,,t,0
758,1,Heater,2023-12-08 21:27:43.391665,2024-10-24 15:53:47.137038,1,,t,0
739,1,Heater,2023-12-08 18:13:42.511646,2024-10-24 15:53:48.513575,1,,t,0
757,1,Heater,2023-12-08 21:26:48.209479,2024-10-24 15:53:51.047264,1,,t,0
760,1,Heater,2023-12-08 21:31:21.492794,2024-10-24 15:53:52.321844,1,,t,0
750,1,Heater,2023-12-08 20:56:47.854845,2024-10-24 15:53:53.106337,1,,t,0
545,1,Heater,2022-12-03 16:37:35.057163,2024-10-24 15:52:01.223511,1,,t,0
582,1,Heater,2022-12-20 18:44:58.336766,2024-10-24 15:52:10.058081,1,,t,0
553,1,Heater,2022-12-03 17:12:24.613613,2024-10-24 15:52:20.791127,1,,t,0
562,1,Heater,2022-12-03 17:51:07.265583,2024-10-24 15:52:24.276169,1,,t,0
709,1,Heater,2023-12-02 18:06:01.752508,2024-10-24 15:53:02.396248,1,,t,0
712,1,Heater,2023-12-02 18:13:32.216569,2024-10-24 15:53:26.083451,1,,t,0
748,1,Heater,2023-12-08 20:53:55.849843,2024-10-24 15:53:49.737081,1,,t,0
763,1,Heater,2023-12-08 21:34:21.761691,2024-10-24 15:53:58.575375,1,,t,0
768,1,Heater,2023-12-08 21:40:36.39119,2024-10-24 15:53:59.074097,1,,t,0
781,1,Heater,2023-12-09 17:19:12.860062,2024-10-24 15:54:04.186416,1,,t,0
772,1,Heater,2023-12-08 21:52:15.108396,2024-10-24 15:54:05.775603,1,,t,0
777,1,Heater,2023-12-09 16:28:13.095503,2024-10-24 15:54:06.737966,1,,t,0
776,1,Heater,2023-12-08 22:03:24.624459,2024-10-24 15:54:07.526513,1,,t,0
778,1,Heater,2023-12-09 16:29:57.619618,2024-10-24 15:54:08.549125,1,,t,0
779,1,Heater,2023-12-09 16:52:51.958406,2024-10-24 15:54:09.601408,1,,t,0
784,1,Heater,2023-12-09 17:28:18.127782,2024-10-24 15:54:10.596069,1,,t,0
785,1,Heater,2023-12-09 18:07:14.847726,2024-10-24 15:54:11.628406,1,,t,0
786,1,Heater,2023-12-09 18:16:41.875899,2024-10-24 15:54:12.619596,1,,t,0
797,1,Heater,2023-12-13 18:21:15.528468,2024-10-24 15:54:13.917259,1,,t,0
802,1,Heater,2023-12-14 19:39:43.727581,2024-10-24 15:54:15.568176,1,,t,0
805,1,Heater,2023-12-15 17:10:53.306399,2024-10-24 15:54:16.360977,1,,t,0
804,1,Heater,2023-12-15 17:06:28.09045,2024-10-24 15:54:17.145018,1,,t,0
807,1,Heater,2023-12-15 17:37:08.270163,2024-10-24 15:54:17.959702,1,,t,0
808,1,Heater,2023-12-15 17:41:08.746482,2024-10-24 15:54:18.73689,1,,t,0
809,1,Heater,2023-12-15 17:42:40.26883,2024-10-24 15:54:19.853552,1,,t,0
811,1,Heater,2023-12-16 14:37:57.187838,2024-10-24 15:54:20.642555,1,,t,0
813,1,Heater,2023-12-16 14:46:53.622913,2024-10-24 15:54:21.48907,1,,t,0
814,1,Heater,2023-12-16 15:23:35.708769,2024-10-24 15:54:22.245579,1,,t,0
815,1,Heater,2023-12-19 20:57:33.961226,2024-10-24 15:54:23.772147,1,,t,0
816,1,Heater,2023-12-20 15:53:44.790651,2024-10-24 15:54:24.725024,1,,t,0
818,1,Heater,2024-01-04 17:25:59.815584,2024-10-24 15:54:25.610363,1,,t,0
819,1,Heater,2024-01-11 17:46:00.207431,2024-10-24 15:54:26.740117,1,,t,0
826,1,Heater,2024-01-25 21:22:25.374986,2024-10-24 15:54:28.005029,1,,t,0
832,1,Heater,2024-02-01 23:02:12.882388,2024-10-24 15:54:28.737227,1,,t,0
827,1,Heater,2024-01-27 15:20:42.855813,2024-10-24 15:54:29.518545,1,,t,0
837,1,Heater,2024-02-09 17:12:34.18077,2024-10-24 15:54:30.310904,1,,t,0
836,1,Heater,2024-02-09 17:10:48.76758,2024-10-24 15:54:30.893419,1,,t,0
842,1,Heater,2024-02-20 19:08:39.068183,2024-10-24 15:54:32.029244,1,,t,0
843,1,Heater,2024-03-20 17:34:18.409898,2024-10-24 15:54:33.017875,1,,t,0
770,1,Heater,2023-12-08 21:49:22.070269,2024-10-24 15:53:59.706646,1,,t,0
787,1,Heater,2023-12-09 18:19:44.027415,2024-10-24 15:54:01.188473,1,,t,0
766,1,Heater,2023-12-08 21:37:57.839656,2024-10-24 15:54:02.358078,1,,t,0
769,1,Heater,2023-12-08 21:48:09.294621,2024-10-24 15:54:03.499791,1,,t,0
946,1,Heater,2024-12-07 17:45:22.973462,2024-12-07 17:45:24.569734,2,,t,0
947,1,Heater,2024-12-07 17:45:31.51246,2024-12-07 17:45:31.781498,2,,t,0
948,1,Heater,2024-12-07 17:45:38.2405,2024-12-07 17:45:38.696995,2,,t,0
949,1,Heater,2024-12-07 17:45:40.424307,2024-12-07 17:45:40.839511,2,,t,0
994,1,Heater,2024-12-07 19:58:12.014038,2024-12-07 19:58:13.014697,2,,t,0
1904,1,Heater,2025-12-09 17:29:22.454253,2025-12-10 20:09:17.807442,3,,t,1423
1903,1,Heater,2025-12-09 17:24:45.005967,2025-12-09 17:24:45.103472,2,,t,380
1925,1,Heater,2025-12-10 19:55:08.421468,2025-12-10 19:55:08.421468,2,,t,
1208,1,Heater,2025-01-04 16:18:32.597508,2025-01-04 16:18:32.787829,2,,t,3776
1905,1,Heater,2025-12-09 17:29:41.582459,2025-12-10 20:09:25.062753,3,,t,1423
